time;Hobs;Dobs;Iobs;ICUobs
2020-03-18;2972;218;9134;771
2020-03-19;4073;327;10995;1002
2020-03-20;5226;450;12625;1297
2020-03-21;5900;525;14301;1453
2020-03-22;6954;632;16018;1674
2020-03-23;8673;860;19874;2080
2020-03-24;10163;1100;22304;2503
2020-03-25;12072;1388;25233;2935
2020-03-26;13879;1696;29155;3351
2020-03-27;15701;1995;32964;3758
2020-03-28;17580;2314;37575;4236
2020-03-29;19311;2606;40174;4592
2020-03-30;20946;3024;44550;5056
2020-03-31;22672;3523;52128;5496
2020-04-01;24543;4032;67924;5940
2020-04-02;26131;4503;71533;6305
2020-04-03;27302;5091;78346;6556
2020-04-04;28003;5532;84043;6723
2020-04-05;28747;5889;86661;6859
2020-04-06;29569;6494;91640;6948
2020-04-07;29871;7091;97504;7004
2020-04-08;30217;7632;103302;7019
2020-04-09;30608;8044;109540;6937
2020-04-10;31108;8598;115608;6875
2020-04-11;31159;8943;120181;6752
2020-04-12;31665;9253;120633;6714
2020-04-13;31952;9588;124298;6690
2020-04-14;32131;10129;130253;6599
2020-04-15;31623;10643;133470;6331
2020-04-16;31172;11053;146060;6139
2020-04-17;31061;11470;147969;5922
2020-04-18;30515;11834;151793;5733
2020-04-19;30486;12061;152894;5644
2020-04-20;30462;12505;155383;5584
2020-04-21;29984;12892;158050;5334
2020-04-22;29627;13225;155873;5127
2020-04-23;29113;13536;158183;4967
2020-04-24;28554;13841;159828;4785
2020-04-25;28119;14039;161488;4641
2020-04-26;28114;14191;162100;4598
2020-04-27;27954;14486;165842;4526
2020-04-28;27607;14676;165911;4392
2020-04-29;26736;15041;166420;4128
2020-04-30;26192;15231;167178;3947
2020-05-01;25809;15350;167346;3819
2020-05-02;25751;15468;168396;3770
2020-05-03;25739;15564;168693;3762
2020-05-04;25472;15807;169462;3639
2020-05-05;24701;16041;170551;3375
2020-05-06;23912;16218;174191;3095
2020-05-07;23139;16367;174791;2911
2020-05-08;22657;16478;176079;2820
2020-05-09;22547;16554;176658;2764
2020-05-10;22502;16623;176970;2728
2020-05-11;22219;16801;177423;2666
2020-05-12;21530;16984;178225;2496
2020-05-13;21009;17082;178060;2385
2020-05-14;20401;17205;178870;2256
2020-05-15;19801;17323;179506;2162
2020-05-16;19372;17393;179365;2091
2020-05-17;19302;17447;179569;2047
2020-05-18;18956;17570;179927;1958
2020-05-19;18409;17695;180809;1854
2020-05-20;17882;17793;181575;1754
2020-05-21;17527;17851;181826;1708
2020-05-22;17327;17925;182219;1664
2020-05-23;17122;17968;182469;1628
2020-05-24;17129;18003;182584;1618
2020-05-25;16742;18093;182942;1572
2020-05-26;16209;18175;182722;1519
2020-05-27;15627;18240;182913;1467
2020-05-28;15155;18306;186238;1395
2020-05-29;14643;18367;186835;1328
2020-05-30;14329;18424;188663;1293
2020-05-31;14271;18455;188920;1287
2020-06-01;14237;18486;189258;1270
2020-06-02;13978;18570;188640;1221
2020-06-03;13465;18651;189082;1179
2020-06-04;13054;18695;189849;1133
2020-06-05;12650;18741;190460;1065
2020-06-06;12433;18772;191039;1030
2020-06-07;12415;18785;191382;1024
2020-06-08;12269;18839;191593;995
2020-06-09;11915;18892;191996;926
2020-06-10;11632;18915;192541;904
2020-06-11;11420;18942;193160;875
2020-06-12;11079;18970;193886;851
2020-06-13;10864;18994;194412;843
2020-06-14;10836;19003;194819;841
2020-06-15;10707;19032;194971;818
2020-06-16;10490;19070;195617;792
2020-06-17;10222;19098;196075;744
2020-06-18;10080;19126;196542;724
2020-06-19;9925;19140;197353;699
2020-06-20;9792;19156;197994;687
2020-06-21;9778;19163;198278;687
2020-06-22;9648;19186;198651;673
2020-06-23;9446;19212;199262;654
2020-06-24;9254;19223;199343;630
2020-06-25;9096;19244;199343;623